X,Y,objectid,oa11cd,lad11cd,st_areasha,st_lengths
-4.05997357321724,50.3845943291916,74028,E00076354,E06000026,74412.6235505,1629.45166431878
-4.04987378520445,50.3857823687118,74029,E00076355,E06000026,143782.1134145,2557.92168142305
-4.07038893625352,50.3838835177134,74030,E00076356,E06000026,121561.749756,1734.34756439068
-4.061122025353,50.3799139611118,74031,E00076357,E06000026,852956.82688,4869.0931859821
-4.03646392824679,50.3830434224201,74032,E00076358,E06000026,77573.99195,2104.61804266245
-4.04938285098707,50.3827193939319,74033,E00076359,E06000026,68912.3088795,1764.22392379844
-4.04122616793227,50.3823664025299,74034,E00076360,E06000026,65297.1268575,1322.35827223993
-4.04084928261073,50.3803511141211,74035,E00076361,E06000026,39873.069255,1176.16486548603
-4.02653147430948,50.3808341190223,74036,E00076362,E06000026,27300.103037,882.49581487533
-4.03043801744776,50.3808654460892,74037,E00076363,E06000026,16680.6320425,598.795378700226
-4.04415363365516,50.3811829315654,74038,E00076364,E06000026,76365.1980635,1713.0648276316
-4.029503023447,50.3799543810917,74039,E00076365,E06000026,27094.3140115,1032.75993855101
-4.03604073975606,50.3794934608789,74040,E00076366,E06000026,27816.670913,884.320901239316
-4.0297038634378,50.3791800410093,74041,E00076367,E06000026,38810.3427385,1224.98326866792
-4.0396282960623,50.3783268205658,74042,E00076368,E06000026,248529.569312,3806.83789047939
-4.06801150904019,50.3976869133695,74043,E00076369,E06000026,163629.1761255,2604.28141508235
-4.07626649172989,50.392511456742,74044,E00076370,E06000026,50541.0036805,1727.95374085709
-4.05794219631761,50.3922751454743,74045,E00076371,E06000026,71384.6444015,1543.51422747215
-4.07450454712957,50.3928761712543,74046,E00076372,E06000026,68973.3771885,1771.69967604663
-4.07108869416628,50.393421328755,74047,E00076373,E06000026,102251.80348,2357.34956948964
-4.06500639395798,50.3927671181881,74048,E00076374,E06000026,94586.0587615,2193.21525285072
-4.05326951729314,50.3934900025787,74049,E00076375,E06000026,112640.15612,2210.61106678058
-4.06867530759288,50.3917416794981,74050,E00076376,E06000026,64508.37005,1912.23401717826
-4.03725332221424,50.3953595029333,74051,E00076377,E06000026,218248.7946245,2265.95072047108
-4.03897556253141,50.3917942194961,74052,E00076378,E06000026,69752.4269775,1487.64614873748
-4.08259950755642,50.3948037984432,74053,E00076379,E06000026,296174.41113,3763.1729822
